model,dataset,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,refinement_name,refinement_reason,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,run_id,status,error_message,runtime_seconds,config_json,logged_at,recent_fraction,decay_half_life_days
RecentPop,yoochoose_recbole_sample,cuda,1.0,2048.0,1024.0,1.29,0.51,0.0,session_popularity_refined,relative recent window,0.0076,0.0107,0.0039,0.0048,0.0027,0.0031,"yoochoose_recbole_sample::RecentPop::{""recent_fraction"": 0.1, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""relative recent window""}",success,,7.8,"{""recent_fraction"": 0.1, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""relative recent window""}",2026-06-24T12:02:19,0.1,
RecentPop,yoochoose_recbole_sample,cuda,1.0,2048.0,1024.0,1.16,0.52,0.0,session_popularity_refined,relative recent window,0.0111,0.0166,0.0076,0.0094,0.0064,0.0072,"yoochoose_recbole_sample::RecentPop::{""recent_fraction"": 0.25, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""relative recent window""}",success,,7.55,"{""recent_fraction"": 0.25, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""relative recent window""}",2026-06-24T12:02:27,0.25,
RecentPop,yoochoose_recbole_sample,cuda,1.0,2048.0,1024.0,1.23,0.52,0.0,session_popularity_refined,relative recent window,0.011,0.0173,0.0075,0.0095,0.0063,0.0072,"yoochoose_recbole_sample::RecentPop::{""recent_fraction"": 0.5, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""relative recent window""}",success,,7.84,"{""recent_fraction"": 0.5, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""relative recent window""}",2026-06-24T12:02:35,0.5,
DecayPop,yoochoose_recbole_sample,cuda,,,,,,,session_popularity_refined,interpretable half-life decay,,,,,,,"yoochoose_recbole_sample::DecayPop::{""decay_half_life_days"": 0.25, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",failed,"float() argument must be a string or a real number, not 'NoneType'",5.9,"{""decay_half_life_days"": 0.25, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T12:02:41,,0.25
DecayPop,yoochoose_recbole_sample,cuda,,,,,,,session_popularity_refined,interpretable half-life decay,,,,,,,"yoochoose_recbole_sample::DecayPop::{""decay_half_life_days"": 0.5, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",failed,"float() argument must be a string or a real number, not 'NoneType'",6.14,"{""decay_half_life_days"": 0.5, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T12:02:47,,0.5
DecayPop,yoochoose_recbole_sample,cuda,,,,,,,session_popularity_refined,interpretable half-life decay,,,,,,,"yoochoose_recbole_sample::DecayPop::{""decay_half_life_days"": 1, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",failed,"float() argument must be a string or a real number, not 'NoneType'",5.84,"{""decay_half_life_days"": 1, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T12:02:53,,1.0
DecayPop,yoochoose_recbole_sample,cuda,,,,,,,session_popularity_refined,interpretable half-life decay,,,,,,,"yoochoose_recbole_sample::DecayPop::{""decay_half_life_days"": 3, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",failed,"float() argument must be a string or a real number, not 'NoneType'",5.96,"{""decay_half_life_days"": 3, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T12:02:59,,3.0
DecayPop,yoochoose_recbole_sample,cuda,,,,,,,session_popularity_refined,interpretable half-life decay,,,,,,,"yoochoose_recbole_sample::DecayPop::{""decay_half_life_days"": 7, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",failed,"float() argument must be a string or a real number, not 'NoneType'",5.92,"{""decay_half_life_days"": 7, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T12:03:05,,7.0
DecayPop,yoochoose_recbole_sample,cuda,,,,,,,session_popularity_refined,interpretable half-life decay,,,,,,,"yoochoose_recbole_sample::DecayPop::{""decay_half_life_days"": 14, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",failed,"float() argument must be a string or a real number, not 'NoneType'",5.86,"{""decay_half_life_days"": 14, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T12:03:11,,14.0
DecayPop,yoochoose_recbole_sample,cuda,,,,,,,session_popularity_refined,interpretable half-life decay,,,,,,,"yoochoose_recbole_sample::DecayPop::{""decay_half_life_days"": 30, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",failed,"float() argument must be a string or a real number, not 'NoneType'",5.96,"{""decay_half_life_days"": 30, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T12:03:16,,30.0
