model,dataset,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,vsknn_k,vsknn_sample_size,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,run_id,status,error_message,runtime_seconds,config_json,logged_at,vstan_k,vstan_sample_size,vstan_position_decay,vstan_idf_weighting,hidden_size,learning_rate,dropout_prob,num_layers,loss_type,train_neg_sample_args
GRU4Rec,yoochoose_recbole_sample,cuda,20,2048,2048,23.36,0.25,0.0,,,0.0145,0.0244,0.0097,0.0129,0.0082,0.0094,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,29.2,"{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:13:14,,,,,100.0,0.0001,0.2,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,10,2048,2048,11.74,0.26,0.0,,,0.2102,0.295,0.1419,0.1694,0.1195,0.1308,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.1, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,17.52,"{""dropout_prob"": 0.1, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:13:31,,,,,128.0,0.001,0.1,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,20,2048,2048,23.33,0.27,0.0,,,0.3718,0.4728,0.2623,0.295,0.2261,0.2396,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,29.4,"{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:14:01,,,,,128.0,0.001,0.1,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,20,2048,2048,23.34,0.27,0.0,,,0.3688,0.4732,0.2602,0.2941,0.2243,0.2384,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,29.23,"{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:14:30,,,,,128.0,0.001,0.2,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,10,2048,2048,11.7,0.26,0.0,,,0.0745,0.1179,0.0497,0.0637,0.0416,0.0473,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.1, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,17.62,"{""dropout_prob"": 0.1, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:14:47,,,,,128.0,0.0005,0.1,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,20,2048,2048,23.41,0.27,0.0,,,0.2228,0.3115,0.1492,0.1779,0.125,0.1369,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,29.31,"{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:15:17,,,,,128.0,0.0005,0.1,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,20,2048,2048,23.65,0.27,0.0,,,0.2132,0.3017,0.1422,0.1708,0.1189,0.1307,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,29.48,"{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:15:46,,,,,128.0,0.0005,0.2,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,10,2048,2048,11.81,0.26,0.0,,,0.0135,0.0216,0.0087,0.0113,0.0071,0.0082,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.1, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,17.77,"{""dropout_prob"": 0.1, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:16:04,,,,,128.0,0.0001,0.1,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,20,2048,2048,23.74,0.26,0.0,,,0.0153,0.0255,0.0102,0.0134,0.0085,0.0098,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,29.68,"{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:16:34,,,,,128.0,0.0001,0.1,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,10,2048,2048,11.97,0.27,0.0,,,0.0133,0.0216,0.0086,0.0112,0.007,0.0081,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,17.94,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:16:52,,,,,128.0,0.0001,0.2,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,20,2048,2048,23.73,0.26,0.0,,,0.0149,0.0243,0.0098,0.0128,0.0082,0.0094,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,29.69,"{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:17:21,,,,,128.0,0.0001,0.2,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,10,2048,2048,13.15,0.27,0.0,,,0.249,0.3399,0.1684,0.1978,0.142,0.1541,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.1, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,19.08,"{""dropout_prob"": 0.1, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:17:40,,,,,256.0,0.001,0.1,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,20,2048,2048,26.14,0.28,0.0,,,0.379,0.4818,0.2693,0.3027,0.2331,0.2469,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,32.13,"{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:18:13,,,,,256.0,0.001,0.1,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,20,2048,2048,26.21,0.27,0.0,,,0.3785,0.4824,0.2684,0.3021,0.232,0.246,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,32.09,"{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:18:45,,,,,256.0,0.001,0.2,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,10,2048,2048,13.1,0.27,0.0,,,0.0439,0.078,0.0299,0.0408,0.0253,0.0298,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.1, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,19.07,"{""dropout_prob"": 0.1, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:19:04,,,,,256.0,0.0005,0.1,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,20,2048,2048,26.21,0.27,0.0,,,0.2317,0.3242,0.1556,0.1856,0.1307,0.1431,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,32.21,"{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:19:36,,,,,256.0,0.0005,0.1,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,20,2048,2048,26.13,0.27,0.0,,,0.2294,0.3216,0.1544,0.1842,0.1297,0.1421,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,32.11,"{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:20:08,,,,,256.0,0.0005,0.2,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,10,2048,2048,13.15,0.27,0.0,,,0.0129,0.0216,0.0084,0.0112,0.0069,0.0081,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.1, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,19.11,"{""dropout_prob"": 0.1, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:20:27,,,,,256.0,0.0001,0.1,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,20,2048,2048,26.1,0.27,0.0,,,0.0146,0.0239,0.0096,0.0126,0.008,0.0092,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,32.14,"{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:20:59,,,,,256.0,0.0001,0.1,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,10,2048,2048,13.09,0.27,0.0,,,0.013,0.0221,0.0084,0.0113,0.0069,0.0081,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,19.04,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:21:18,,,,,256.0,0.0001,0.2,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,20,2048,2048,26.11,0.28,0.0,,,0.0115,0.0221,0.0073,0.0107,0.0059,0.0073,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,32.11,"{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:21:51,,,,,256.0,0.0001,0.2,1.0,CE,
VS-KNN,globo_recbole_sample,cuda,1,2048,1024,48.85,101.52,0.0,100.0,250.0,0.183,0.3421,0.0838,0.1353,0.0521,0.0733,"globo_recbole_sample::VS-KNN::{""vsknn_k"": 100, ""vsknn_sample_size"": 250}",success,,157.34,"{""vsknn_k"": 100, ""vsknn_sample_size"": 250}",2026-05-28T01:24:28,,,,,,,,,,
VS-KNN,globo_recbole_sample,cuda,1,2048,1024,54.04,112.66,0.0,100.0,500.0,0.1784,0.3373,0.0811,0.1326,0.05,0.0713,"globo_recbole_sample::VS-KNN::{""vsknn_k"": 100, ""vsknn_sample_size"": 500}",success,,173.47,"{""vsknn_k"": 100, ""vsknn_sample_size"": 500}",2026-05-28T01:27:21,,,,,,,,,,
VS-KNN,globo_recbole_sample,cuda,1,2048,1024,61.81,129.1,0.0,200.0,100.0,0.1854,0.3421,0.0863,0.1369,0.0544,0.0753,"globo_recbole_sample::VS-KNN::{""vsknn_k"": 200, ""vsknn_sample_size"": 100}",success,,197.63,"{""vsknn_k"": 200, ""vsknn_sample_size"": 100}",2026-05-28T01:30:39,,,,,,,,,,
VS-KNN,globo_recbole_sample,cuda,1,2048,1024,82.03,172.61,0.0,200.0,250.0,0.1878,0.353,0.0868,0.1404,0.0544,0.0766,"globo_recbole_sample::VS-KNN::{""vsknn_k"": 200, ""vsknn_sample_size"": 250}",success,,261.59,"{""vsknn_k"": 200, ""vsknn_sample_size"": 250}",2026-05-28T01:35:01,,,,,,,,,,
VS-KNN,globo_recbole_sample,cuda,1,2048,1024,82.37,173.85,0.0,200.0,500.0,0.1852,0.3512,0.0847,0.1384,0.0525,0.0747,"globo_recbole_sample::VS-KNN::{""vsknn_k"": 200, ""vsknn_sample_size"": 500}",success,,263.28,"{""vsknn_k"": 200, ""vsknn_sample_size"": 500}",2026-05-28T01:39:24,,,,,,,,,,
VS-KNN,globo_recbole_sample,cuda,1,2048,1024,61.43,129.21,0.0,500.0,100.0,0.1854,0.3421,0.0863,0.1369,0.0544,0.0753,"globo_recbole_sample::VS-KNN::{""vsknn_k"": 500, ""vsknn_sample_size"": 100}",success,,197.79,"{""vsknn_k"": 500, ""vsknn_sample_size"": 100}",2026-05-28T01:42:42,,,,,,,,,,
VS-KNN,globo_recbole_sample,cuda,1,2048,1024,128.79,272.98,0.0,500.0,250.0,0.1916,0.3547,0.0889,0.1417,0.0559,0.0778,"globo_recbole_sample::VS-KNN::{""vsknn_k"": 500, ""vsknn_sample_size"": 250}",success,,408.75,"{""vsknn_k"": 500, ""vsknn_sample_size"": 250}",2026-05-28T01:49:30,,,,,,,,,,
VS-KNN,globo_recbole_sample,cuda,1,2048,1024,234.19,496.87,0.0,500.0,500.0,0.1936,0.3597,0.0898,0.1436,0.0565,0.0787,"globo_recbole_sample::VS-KNN::{""vsknn_k"": 500, ""vsknn_sample_size"": 500}",success,,738.02,"{""vsknn_k"": 500, ""vsknn_sample_size"": 500}",2026-05-28T02:01:48,,,,,,,,,,
VSTAN,globo_recbole_sample,cuda,1,2048,1024,64.94,136.15,0.0,,,0.181,0.3391,0.0823,0.1335,0.0507,0.0719,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",success,,207.9,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",2026-05-28T02:05:16,100.0,100.0,0.05,True,,,,,,
VSTAN,globo_recbole_sample,cuda,1,2048,1024,64.2,135.55,0.0,,,0.1871,0.344,0.087,0.1378,0.0548,0.0758,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",success,,206.94,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",2026-05-28T02:08:43,100.0,100.0,0.05,False,,,,,,
VSTAN,globo_recbole_sample,cuda,1,2048,1024,64.13,138.42,0.0,,,0.1881,0.346,0.0875,0.1386,0.0552,0.0762,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,209.59,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",2026-05-28T02:12:13,100.0,100.0,0.1,False,,,,,,
VSTAN,globo_recbole_sample,cuda,1,2048,1024,65.0,138.44,0.0,,,0.1864,0.3432,0.0848,0.1356,0.0523,0.0733,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,210.41,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",2026-05-28T02:15:43,100.0,100.0,0.2,True,,,,,,
VSTAN,globo_recbole_sample,cuda,1,2048,1024,64.49,138.5,0.0,,,0.1909,0.3482,0.0888,0.1397,0.056,0.077,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,210.1,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",2026-05-28T02:19:13,100.0,100.0,0.2,False,,,,,,
VSTAN,globo_recbole_sample,cuda,1,2048,1024,53.01,110.89,0.0,,,0.1799,0.3413,0.081,0.1333,0.0494,0.0711,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",success,,171.06,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",2026-05-28T02:22:05,100.0,250.0,0.05,True,,,,,,
VSTAN,globo_recbole_sample,cuda,1,2048,1024,51.38,107.74,0.0,,,0.1947,0.3486,0.0917,0.1416,0.0585,0.0791,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",success,,166.07,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",2026-05-28T02:24:51,100.0,250.0,0.05,False,,,,,,
VSTAN,globo_recbole_sample,cuda,1,2048,1024,53.49,111.54,0.0,,,0.1857,0.3454,0.0843,0.136,0.0518,0.0732,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,172.22,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",2026-05-28T02:27:43,100.0,250.0,0.1,True,,,,,,
VSTAN,globo_recbole_sample,cuda,1,2048,1024,51.57,108.28,0.0,,,0.1958,0.3503,0.0923,0.1424,0.059,0.0797,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,166.84,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",2026-05-28T02:30:30,100.0,250.0,0.1,False,,,,,,
VSTAN,globo_recbole_sample,cuda,1,2048,1024,54.33,113.68,0.0,,,0.194,0.3496,0.0896,0.1401,0.0561,0.077,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,174.94,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",2026-05-28T02:33:25,100.0,250.0,0.2,True,,,,,,
VSTAN,globo_recbole_sample,cuda,1,2048,1024,52.19,109.12,0.0,,,0.1999,0.3531,0.0946,0.1442,0.0606,0.0811,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,168.26,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",2026-05-28T02:36:13,100.0,250.0,0.2,False,,,,,,
VSTAN,globo_recbole_sample,cuda,1,2048,1024,60.32,126.31,0.0,,,0.1744,0.334,0.079,0.1308,0.0486,0.07,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,193.79,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",2026-05-28T02:39:27,100.0,500.0,0.05,True,,,,,,
VSTAN,globo_recbole_sample,cuda,1,2048,1024,58.41,122.84,0.0,,,0.191,0.3474,0.0891,0.1398,0.0564,0.0774,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,188.28,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",2026-05-28T02:42:35,100.0,500.0,0.05,False,,,,,,
