model,dataset,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,vsknn_k,vsknn_sample_size,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,run_id,status,error_message,runtime_seconds,config_json,logged_at,vstan_k,vstan_sample_size,vstan_position_decay,vstan_idf_weighting,hidden_size,learning_rate,dropout_prob,num_layers,loss_type,train_neg_sample_args
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,172.15,262.2,0.0,,,0.3936,0.4882,0.2849,0.3157,0.249,0.2618,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",success,,442.13,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",2026-05-27T16:04:35,100.0,100.0,0.05,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,171.96,262.36,0.0,,,0.3993,0.4952,0.2885,0.3198,0.2519,0.2649,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,442.33,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",2026-05-27T16:11:58,100.0,100.0,0.1,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,173.89,265.55,0.0,,,0.4139,0.5094,0.298,0.3291,0.2596,0.2725,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,447.19,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",2026-05-27T16:19:25,100.0,100.0,0.2,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,172.27,262.92,0.0,,,0.4078,0.5037,0.2943,0.3255,0.2567,0.2697,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,443.09,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",2026-05-27T16:26:48,100.0,100.0,0.2,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,114.46,170.72,0.0,,,0.4058,0.5044,0.2909,0.323,0.2529,0.2663,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",success,,292.74,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",2026-05-27T16:31:41,100.0,250.0,0.05,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,111.16,166.75,0.0,,,0.3994,0.4985,0.2875,0.3197,0.2504,0.2638,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",success,,285.74,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",2026-05-27T16:36:26,100.0,250.0,0.05,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,115.82,172.86,0.0,,,0.4133,0.5136,0.2953,0.3279,0.2562,0.2698,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,296.48,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",2026-05-27T16:41:23,100.0,250.0,0.1,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,112.69,168.03,0.0,,,0.4063,0.507,0.2916,0.3244,0.2537,0.2673,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,288.77,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",2026-05-27T16:46:12,100.0,250.0,0.1,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,119.65,178.03,0.0,,,0.4247,0.5252,0.3024,0.3351,0.2619,0.2755,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,305.48,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",2026-05-27T16:51:17,100.0,250.0,0.2,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,116.82,172.92,0.0,,,0.4172,0.5178,0.2983,0.3311,0.259,0.2726,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,297.47,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",2026-05-27T16:56:15,100.0,250.0,0.2,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,118.1,175.91,0.0,,,0.4029,0.5024,0.2899,0.3222,0.2525,0.2659,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,301.84,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",2026-05-27T17:01:17,100.0,500.0,0.05,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,114.81,170.46,0.0,,,0.4007,0.4996,0.2882,0.3203,0.251,0.2643,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,293.04,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",2026-05-27T17:06:10,100.0,500.0,0.05,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,118.74,177.1,0.0,,,0.4128,0.5138,0.2952,0.3281,0.2563,0.27,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,303.69,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",2026-05-27T17:11:13,100.0,500.0,0.1,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,114.85,171.21,0.0,,,0.4082,0.5093,0.2927,0.3255,0.2545,0.2681,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,293.97,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",2026-05-27T17:16:07,100.0,500.0,0.1,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,120.77,179.36,0.0,,,0.427,0.5276,0.3035,0.3362,0.2626,0.2762,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,308.06,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",2026-05-27T17:21:15,100.0,500.0,0.2,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,116.25,172.58,0.0,,,0.4204,0.521,0.3001,0.3329,0.2603,0.274,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,296.72,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",2026-05-27T17:26:12,100.0,500.0,0.2,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,174.34,265.73,0.0,,,0.3997,0.495,0.2888,0.3198,0.2521,0.265,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",success,,448.09,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",2026-05-27T17:33:40,200.0,100.0,0.05,True,,,,,,
