model,dataset,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,vsknn_k,vsknn_sample_size,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,run_id,status,error_message,runtime_seconds,config_json,vstan_k,vstan_sample_size,vstan_position_decay,vstan_idf_weighting,hidden_size,learning_rate,dropout_prob,num_layers,loss_type,train_neg_sample_args,window_days,decay_lambda,vsknn_popularity_weight,vstan_popularity_weight
GRU4Rec,globo_recbole_sample,cuda,20,2048,2048,21.6,0.26,0.0,,,0.033,0.0605,0.0217,0.0305,0.0181,0.0216,"globo_recbole_sample::GRU4Rec::{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,27.5,"{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",,,,,256.0,0.0001,0.1,1.0,CE,,,,,
GRU4Rec,globo_recbole_sample,cuda,10,2048,2048,10.82,0.26,0.0,,,0.0335,0.0584,0.0222,0.0301,0.0185,0.0217,"globo_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,16.66,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",,,,,256.0,0.0001,0.2,1.0,CE,,,,,
GRU4Rec,globo_recbole_sample,cuda,20,2048,2048,21.49,0.27,0.0,,,0.0308,0.0577,0.0208,0.0294,0.0176,0.0211,"globo_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,27.56,"{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",,,,,256.0,0.0001,0.2,1.0,CE,,,,,
VS-KNN,adressa_recbole_sample,cuda,1,2048,1024,269.44,369.99,0.0,100.0,250.0,0.2061,0.339,0.1287,0.1713,0.1034,0.1208,"adressa_recbole_sample::VS-KNN::{""vsknn_k"": 100, ""vsknn_sample_size"": 250}",success,,646.46,"{""vsknn_k"": 100, ""vsknn_sample_size"": 250}",,,,,,,,,,,,,,
VS-KNN,adressa_recbole_sample,cuda,1,2048,1024,274.7,377.95,0.0,100.0,500.0,0.2112,0.3428,0.1313,0.1735,0.1053,0.1225,"adressa_recbole_sample::VS-KNN::{""vsknn_k"": 100, ""vsknn_sample_size"": 500}",success,,659.7,"{""vsknn_k"": 100, ""vsknn_sample_size"": 500}",,,,,,,,,,,,,,
VS-KNN,adressa_recbole_sample,cuda,1,2048,1024,296.7,414.29,0.0,200.0,100.0,0.1945,0.3172,0.1234,0.1627,0.1002,0.1162,"adressa_recbole_sample::VS-KNN::{""vsknn_k"": 200, ""vsknn_sample_size"": 100}",success,,718.44,"{""vsknn_k"": 200, ""vsknn_sample_size"": 100}",,,,,,,,,,,,,,
VS-KNN,adressa_recbole_sample,cuda,1,2048,1024,374.78,524.68,0.0,200.0,250.0,0.1989,0.3253,0.1251,0.1655,0.101,0.1174,"adressa_recbole_sample::VS-KNN::{""vsknn_k"": 200, ""vsknn_sample_size"": 250}",success,,906.52,"{""vsknn_k"": 200, ""vsknn_sample_size"": 250}",,,,,,,,,,,,,,
VS-KNN,adressa_recbole_sample,cuda,1,2048,1024,349.34,484.49,0.0,200.0,500.0,0.2073,0.346,0.1294,0.1739,0.104,0.1222,"adressa_recbole_sample::VS-KNN::{""vsknn_k"": 200, ""vsknn_sample_size"": 500}",success,,840.85,"{""vsknn_k"": 200, ""vsknn_sample_size"": 500}",,,,,,,,,,,,,,
VS-KNN,adressa_recbole_sample,cuda,1,2048,1024,295.77,412.11,0.0,500.0,100.0,0.1945,0.3172,0.1234,0.1627,0.1002,0.1162,"adressa_recbole_sample::VS-KNN::{""vsknn_k"": 500, ""vsknn_sample_size"": 100}",success,,714.8,"{""vsknn_k"": 500, ""vsknn_sample_size"": 100}",,,,,,,,,,,,,,
VS-KNN,adressa_recbole_sample,cuda,1,2048,1024,477.62,674.14,0.0,500.0,250.0,0.1961,0.3202,0.124,0.1636,0.1005,0.1165,"adressa_recbole_sample::VS-KNN::{""vsknn_k"": 500, ""vsknn_sample_size"": 250}",success,,1158.83,"{""vsknn_k"": 500, ""vsknn_sample_size"": 250}",,,,,,,,,,,,,,
VS-KNN,adressa_recbole_sample,cuda,1,2048,1024,775.01,1101.72,0.0,500.0,500.0,0.1963,0.3213,0.1243,0.1641,0.1007,0.1169,"adressa_recbole_sample::VS-KNN::{""vsknn_k"": 500, ""vsknn_sample_size"": 500}",success,,1883.88,"{""vsknn_k"": 500, ""vsknn_sample_size"": 500}",,,,,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,302.98,423.52,0.0,,,0.2165,0.3513,0.1374,0.1807,0.1116,0.1293,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",success,,733.59,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",100.0,100.0,0.05,True,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,303.89,423.5,0.0,,,0.2071,0.3366,0.1312,0.1727,0.1065,0.1234,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",success,,734.45,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",100.0,100.0,0.05,False,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,301.9,421.6,0.0,,,0.2164,0.3538,0.1367,0.1807,0.1108,0.1286,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,730.46,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",100.0,100.0,0.1,False,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,302.56,422.33,0.0,,,0.2412,0.3925,0.1541,0.2027,0.1258,0.1457,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,732.09,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",100.0,100.0,0.2,True,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,304.28,424.44,0.0,,,0.2331,0.3802,0.1472,0.1944,0.1192,0.1384,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,735.84,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",100.0,100.0,0.2,False,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,283.78,391.54,0.0,,,0.2259,0.3678,0.145,0.1906,0.1187,0.1373,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",success,,682.37,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",100.0,250.0,0.05,True,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,271.75,374.14,0.0,,,0.2169,0.3576,0.137,0.1822,0.1111,0.1295,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",success,,652.84,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",100.0,250.0,0.05,False,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,284.52,390.41,0.0,,,0.2368,0.3893,0.1524,0.2014,0.125,0.1451,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,682.05,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",100.0,250.0,0.1,True,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,278.39,383.58,0.0,,,0.2262,0.3753,0.1433,0.1912,0.1163,0.1359,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,669.22,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",100.0,250.0,0.1,False,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,279.92,386.33,0.0,,,0.2563,0.4166,0.1635,0.2152,0.1334,0.1547,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,673.48,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",100.0,250.0,0.2,True,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,274.3,378.19,0.0,,,0.2449,0.4063,0.1553,0.2073,0.1262,0.1475,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,659.8,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",100.0,250.0,0.2,False,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,290.41,401.14,0.0,,,0.2306,0.378,0.1484,0.1958,0.1216,0.141,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,698.86,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",100.0,500.0,0.05,True,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,285.23,392.93,0.0,,,0.2249,0.3693,0.1437,0.19,0.1172,0.1362,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,685.26,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",100.0,500.0,0.05,False,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,290.05,399.77,0.0,,,0.2428,0.3988,0.1567,0.2069,0.1287,0.1492,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,697.06,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",100.0,500.0,0.1,True,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,282.26,388.93,0.0,,,0.235,0.3862,0.15,0.1985,0.1223,0.1422,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,678.37,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",100.0,500.0,0.1,False,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,290.62,400.47,0.0,,,0.265,0.4308,0.1694,0.2229,0.1384,0.1604,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,698.26,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",100.0,500.0,0.2,True,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,281.67,388.5,0.0,,,0.2551,0.4184,0.1619,0.2145,0.1316,0.1532,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,677.22,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",100.0,500.0,0.2,False,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,304.61,425.92,0.0,,,0.2165,0.3513,0.1374,0.1807,0.1116,0.1293,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",success,,737.81,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",200.0,100.0,0.05,True,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,299.51,418.55,0.0,,,0.2071,0.3366,0.1312,0.1727,0.1065,0.1234,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",success,,725.38,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",200.0,100.0,0.05,False,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,301.53,421.45,0.0,,,0.2259,0.3693,0.144,0.1902,0.1174,0.1363,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,730.32,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",200.0,100.0,0.1,True,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,306.13,426.99,0.0,,,0.2164,0.3538,0.1367,0.1807,0.1108,0.1286,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,740.12,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",200.0,100.0,0.1,False,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,302.21,422.05,0.0,,,0.2412,0.3925,0.1541,0.2027,0.1258,0.1457,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,731.4,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",200.0,100.0,0.2,True,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,300.37,419.83,0.0,,,0.2331,0.3802,0.1472,0.1944,0.1192,0.1384,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,727.55,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",200.0,100.0,0.2,False,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,390.64,546.55,0.0,,,0.2214,0.3645,0.1408,0.1868,0.1146,0.1334,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",success,,944.37,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",200.0,250.0,0.05,True,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,391.54,547.37,0.0,,,0.2101,0.3433,0.1324,0.175,0.107,0.1244,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",success,,946.06,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",200.0,250.0,0.05,False,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,391.56,548.79,0.0,,,0.2303,0.3841,0.1471,0.1965,0.12,0.1402,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,947.64,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",200.0,250.0,0.1,True,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,387.89,543.84,0.0,,,0.2192,0.3607,0.1385,0.1838,0.1122,0.1306,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,938.93,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",200.0,250.0,0.1,False,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,395.0,554.35,0.0,,,0.2461,0.4119,0.1572,0.2106,0.1283,0.1502,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,956.51,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",200.0,250.0,0.2,True,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,391.2,547.55,0.0,,,0.2355,0.3894,0.1485,0.1979,0.1202,0.1403,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,945.88,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",200.0,250.0,0.2,False,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,385.41,540.5,0.0,,,0.2304,0.3826,0.1472,0.196,0.1201,0.1401,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,933.07,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",200.0,500.0,0.05,True,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,369.72,512.89,0.0,,,0.2183,0.3648,0.138,0.185,0.1119,0.131,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,889.64,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",200.0,500.0,0.05,False,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,382.22,530.1,0.0,,,0.24,0.403,0.1543,0.2068,0.1265,0.148,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,919.3,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",200.0,500.0,0.1,True,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,368.34,510.46,0.0,,,0.2285,0.3825,0.1447,0.1942,0.1174,0.1376,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,885.93,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",200.0,500.0,0.1,False,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,388.36,538.09,0.0,,,0.2602,0.4341,0.1655,0.2216,0.1348,0.1579,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,933.92,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",200.0,500.0,0.2,True,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,375.3,519.74,0.0,,,0.2484,0.4129,0.157,0.21,0.1273,0.149,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,902.31,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",200.0,500.0,0.2,False,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,302.83,423.34,0.0,,,0.2165,0.3513,0.1374,0.1807,0.1116,0.1293,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",success,,733.59,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",500.0,100.0,0.05,True,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,305.88,427.04,0.0,,,0.2071,0.3366,0.1312,0.1727,0.1065,0.1234,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",success,,740.03,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",500.0,100.0,0.05,False,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,307.77,430.33,0.0,,,0.2259,0.3693,0.144,0.1902,0.1174,0.1363,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,745.1,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",500.0,100.0,0.1,True,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,305.44,429.17,0.0,,,0.2164,0.3538,0.1367,0.1807,0.1108,0.1286,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,741.59,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",500.0,100.0,0.1,False,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,306.68,428.68,0.0,,,0.2412,0.3925,0.1541,0.2027,0.1258,0.1457,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,742.55,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",500.0,100.0,0.2,True,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,300.65,419.62,0.0,,,0.2331,0.3802,0.1472,0.1944,0.1192,0.1384,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,727.69,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",500.0,100.0,0.2,False,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,501.57,702.56,0.0,,,0.2203,0.3627,0.139,0.1847,0.1125,0.1312,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",success,,1211.31,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",500.0,250.0,0.05,True,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,493.36,697.28,0.0,,,0.2075,0.3402,0.1314,0.1738,0.1066,0.1238,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",success,,1197.82,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",500.0,250.0,0.05,False,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,494.3,698.57,0.0,,,0.2296,0.3811,0.1457,0.1944,0.1184,0.1383,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,1200.15,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",500.0,250.0,0.1,True,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,495.62,700.66,0.0,,,0.2169,0.3584,0.137,0.1822,0.1109,0.1292,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,1203.62,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",500.0,250.0,0.1,False,,,,,,,,,,
