model,dataset,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,vsknn_k,vsknn_sample_size,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,run_id,status,error_message,runtime_seconds,config_json,vstan_k,vstan_sample_size,vstan_position_decay,vstan_idf_weighting,hidden_size,learning_rate,dropout_prob,num_layers,loss_type,train_neg_sample_args,experiment_type,experiment_name,source_file,has_experiment_log,coverage@10,avg_recommendation_popularity@10,logged_at,window_days,decay_lambda,embedding_size,runtime_minutes,mrr@10_per_minute,ndcg@10_per_minute,hit@10_per_minute,train_runtime_share,eval_runtime_share,extra_metrics_runtime_share,rank_by_mrr@10,relative_mrr@10_to_dataset_best,mrr@10_gap_to_dataset_best,runtime_relative_to_dataset_fastest,quality_runtime_pareto_efficient
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,115.82,172.86,0.0,,,0.4133,0.5136,0.2953,0.3279,0.2562,0.2698,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,296.48,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",100.0,250.0,0.1,True,,,,,,,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,,,4.941333333333334,0.054600647598488934,0.06635860766324879,0.10393955747436588,0.3906502968159741,0.583041014570966,0.0,21.0,0.9729534799855751,0.007500000000000007,16.990257879656163,True
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,172.94,263.02,0.0,,,0.4078,0.5037,0.2943,0.3255,0.2567,0.2697,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,443.5,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",200.0,100.0,0.2,False,,,,,,,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,,,7.391666666666667,0.036487034949267194,0.04403607666290868,0.06814430665163473,0.3899436302142052,0.5930552423900789,0.0,22.0,0.9725928597187162,0.007599999999999996,25.41547277936963,False
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,172.27,262.92,0.0,,,0.4078,0.5037,0.2943,0.3255,0.2567,0.2697,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,443.09,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",100.0,100.0,0.2,False,,,,,,,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,,,7.384833333333333,0.036520797129251395,0.04407682412151031,0.06820736193549844,0.38879234467038304,0.5933783204315151,0.0,22.0,0.9725928597187162,0.007599999999999996,25.391977077363897,False
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,168.06,259.8,0.0,,,0.4078,0.5037,0.2943,0.3255,0.2567,0.2697,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,435.09,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",500.0,100.0,0.2,False,,,,,,,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,,,7.251499999999999,0.037192305040336486,0.04488726470385438,0.06946149072605669,0.3862649107081294,0.5971178376887541,0.0,22.0,0.9725928597187162,0.007599999999999996,24.933524355300857,False
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,200.82,301.21,0.0,,,0.4083,0.5122,0.2928,0.3265,0.2546,0.2686,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,509.48,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",200.0,500.0,0.1,False,,,,,,,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,,,8.491333333333333,0.03163225249273769,0.03845096961607914,0.060320326607521395,0.3941666012404805,0.5912106461490146,0.0,25.0,0.9686260367832673,0.008699999999999986,29.19656160458453,False
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,651.23,985.22,0.0,,,0.4072,0.5083,0.2928,0.3256,0.2549,0.2686,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,1643.89,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",500.0,500.0,0.05,True,,,,,,,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,,,27.39816666666667,0.009803575665038415,0.011884006837440462,0.018552336226876492,0.3961518106442645,0.5993223390859486,0.0,25.0,0.9686260367832673,0.008699999999999986,94.2057306590258,False
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,644.82,975.43,0.0,,,0.4071,0.5084,0.2927,0.3255,0.2548,0.2684,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,1627.95,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",500.0,500.0,0.1,False,,,,,,,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,,,27.1325,0.009892195706256336,0.011996682944807888,0.01873767621855708,0.3960932461070672,0.599176878896772,0.0,27.0,0.9679047962495494,0.008899999999999963,93.29226361031519,False
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,114.85,171.21,0.0,,,0.4082,0.5093,0.2927,0.3255,0.2545,0.2681,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,293.97,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",100.0,500.0,0.1,False,,,,,,,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,,,4.899500000000001,0.05471986937442595,0.06643535054597408,0.10394938259006019,0.39068612443446604,0.5824063679967343,0.0,28.0,0.9668229354489722,0.009199999999999986,16.846418338108883,True
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,174.5,266.02,0.0,,,0.4059,0.5019,0.2926,0.3239,0.2551,0.2681,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,448.27,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",200.0,100.0,0.1,True,,,,,,,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,,,7.471166666666666,0.03588462310660986,0.04335333615901132,0.06717826310036362,0.389274321279586,0.5934369910991144,0.0,28.0,0.9668229354489722,0.009199999999999986,25.688825214899712,False
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,171.34,258.89,0.0,,,0.4059,0.5019,0.2926,0.3239,0.2551,0.2681,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,437.45,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",500.0,100.0,0.1,True,,,,,,,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,,,7.2908333333333335,0.03677220253743285,0.04442564864555949,0.06883986741341867,0.39167904903417533,0.591816207566579,0.0,28.0,0.9668229354489722,0.009199999999999986,25.068767908309457,False
