dataset,model,prefix_group,query_count,query_share,final_test_id,hit@5,mrr@5,ndcg@5,hit@10,mrr@10,ndcg@10
yoochoose_recbole_sample,GRU4Rec,3,14679,0.2053725078698845,validation_first_v6::test::session::yoochoose_recbole_sample::GRU4Rec::seed=42,0.4263914435588255,0.266572427731226,0.3063252892214802,0.538660671707882,0.2817312714308422,0.3428075350909835
yoochoose_recbole_sample,GRU4Rec,4+,31358,0.4387268275620846,validation_first_v6::test::session::yoochoose_recbole_sample::GRU4Rec::seed=42,0.3610243000191339,0.2188729085613453,0.2541652367701899,0.4640602079214235,0.2327219099047659,0.2875851423416671
yoochoose_recbole_sample,MostPop,1,0,0.0,validation_first_v6::test::session::yoochoose_recbole_sample::MostPop::seed=42,,,,,,
yoochoose_recbole_sample,MostPop,2,25438,0.3559006645680307,validation_first_v6::test::session::yoochoose_recbole_sample::MostPop::seed=42,0.0154493277773409,0.0084794402075634,0.0102125357767187,0.02342951489897,0.0095084282107632,0.0127560076887406
yoochoose_recbole_sample,MostPop,3,14679,0.2053725078698845,validation_first_v6::test::session::yoochoose_recbole_sample::MostPop::seed=42,0.0136930308604128,0.0069191815972931,0.0086017517870604,0.0217317255943865,0.0079895747839749,0.0111974123519546
yoochoose_recbole_sample,MostPop,4+,31358,0.4387268275620846,validation_first_v6::test::session::yoochoose_recbole_sample::MostPop::seed=42,0.0126283564002806,0.0058725046240193,0.0075391112176547,0.0199311180559984,0.0068310838377488,0.0098842971729149
yoochoose_recbole_sample,RecentPop,1,0,0.0,validation_first_v6::test::session::yoochoose_recbole_sample::RecentPop::seed=42,,,,,,
yoochoose_recbole_sample,RecentPop,2,25438,0.3559006645680307,validation_first_v6::test::session::yoochoose_recbole_sample::RecentPop::seed=42,0.0121471813821841,0.0070399926618969,0.0082895860099089,0.0230364022328799,0.0085526652414772,0.0118687398167398
yoochoose_recbole_sample,RecentPop,3,14679,0.2053725078698845,validation_first_v6::test::session::yoochoose_recbole_sample::RecentPop::seed=42,0.012262415695892,0.0072166587188046,0.008459881456972,0.0220042237209619,0.008517566937759,0.0116096998050218
yoochoose_recbole_sample,RecentPop,4+,31358,0.4387268275620846,validation_first_v6::test::session::yoochoose_recbole_sample::RecentPop::seed=42,0.0090567000446457,0.0052830750260433,0.0062088758278929,0.0163913514892531,0.0062733162444559,0.0085914460270783
yoochoose_recbole_sample,VS-KNN,1,0,0.0,validation_first_v6::test::session::yoochoose_recbole_sample::VS-KNN::seed=42,,,,,,
yoochoose_recbole_sample,VS-KNN,2,25438,0.3559006645680307,validation_first_v6::test::session::yoochoose_recbole_sample::VS-KNN::seed=42,0.4657598867835522,0.2832324344157035,0.3288640650482889,0.5605000393112666,0.2961043782767188,0.359728511221625
yoochoose_recbole_sample,VS-KNN,3,14679,0.2053725078698845,validation_first_v6::test::session::yoochoose_recbole_sample::VS-KNN::seed=42,0.4679474078615709,0.3009140041328882,0.342559652243759,0.564547993732543,0.3140476028274924,0.3740407248651554
yoochoose_recbole_sample,VS-KNN,4+,31358,0.4387268275620846,validation_first_v6::test::session::yoochoose_recbole_sample::VS-KNN::seed=42,0.411569615409146,0.2553585475264153,0.2941914242970799,0.5125645768225014,0.2689854592686405,0.3270004536712467
yoochoose_recbole_sample,VSTAN,1,0,0.0,validation_first_v7_vstan_collapsed::test::session::yoochoose_recbole_sample::VSTAN::seed=42,,,,,,
yoochoose_recbole_sample,VSTAN,2,25438,0.3559006645680307,validation_first_v7_vstan_collapsed::test::session::yoochoose_recbole_sample::VSTAN::seed=42,0.4705558613098514,0.2911353093796682,0.3359526631544919,0.5550357732526142,0.3026739929139882,0.3635367666374496
yoochoose_recbole_sample,VSTAN,3,14679,0.2053725078698845,validation_first_v7_vstan_collapsed::test::session::yoochoose_recbole_sample::VSTAN::seed=42,0.4726480005449962,0.2959988191747849,0.3400692186474817,0.5615505143402139,0.3081101443915668,0.3690638944530779
yoochoose_recbole_sample,VSTAN,4+,31358,0.4387268275620846,validation_first_v7_vstan_collapsed::test::session::yoochoose_recbole_sample::VSTAN::seed=42,0.4071688245423815,0.2491304717562769,0.2884218418552761,0.5048472479112188,0.2624312850977497,0.3202743772159143
